0.31	-0.997725	3.56938e-05	0.151232	0.00603218	0.0759939	0.000141131	128.236	0.552094	0.0707192	0.000131693	111.566	0.385893	
0.314	-0.99688	5.50063e-05	0.245738	0.011926	0.0759454	0.000202102	126.406	0.720987	0.0682329	0.000217674	103.13	0.587264	
0.319	-0.995432	8.52565e-05	0.379576	0.0210784	0.0758122	0.000253144	124.026	0.914962	0.0638798	0.000357248	90.0346	0.839547	
0.323	-0.99262	0.00016814	0.794422	0.0461655	0.0747267	0.000381145	119.458	1.34403	0.0529135	0.000839499	66.8287	1.50588	
0.328	-0.988099	0.000124269	0.618954	0.0288165	0.073079	0.000729163	113.186	2.25195	0.0330171	0.000766831	28.9856	1.36653	
0.332	-0.985962	7.25418e-05	0.42712	0.0293251	0.0694462	0.000699179	101.107	2.15321	0.0243409	0.000455705	14.3774	0.877281	
0.337	-0.984359	3.59187e-05	0.313153	0.00746353	0.0661627	0.000724993	90.2825	2.11302	0.02086	0.000207358	8.25133	0.318997	
0.341	-0.983145	2.34121e-05	0.281925	0.00390331	0.0645714	0.000607776	84.0639	1.67982	0.0193275	0.000117994	5.98142	0.159839	
0.346	-0.981756	1.60279e-05	0.275935	0.00247787	0.0624142	0.000500688	77.5549	1.25391	0.0183337	7.45874e-05	4.63855	0.0886325	
0.35	-0.980639	1.5661e-05	0.280219	0.00188972	0.0595191	0.000557727	70.4299	1.21644	0.0178674	5.90075e-05	4.02648	0.053972	
