0.31	-0.998139	2.92885e-05	0.117328	0.00461236	0.079636	9.84727e-05	116.274	0.286099	0.0757368	0.000103747	105.63	0.268508	
0.315	-0.997347	3.60593e-05	0.173985	0.0057671	0.0796061	0.000125483	114.362	0.369271	0.0737159	0.000131224	98.6805	0.3238	
0.32	-0.996329	5.84159e-05	0.272255	0.0111891	0.0794445	0.000133989	111.944	0.384855	0.0709952	0.000218931	90.6715	0.492462	
0.325	-0.994276	0.00012123	0.526414	0.0325092	0.0793315	0.000325202	110.022	0.919655	0.0643145	0.000515896	75.4994	0.926071	
0.33	-0.990632	0.000166239	0.852048	0.0311623	0.0784752	0.000521582	106.407	1.26418	0.0507509	0.000819907	51.798	1.27966	
0.335	-0.986457	0.000109836	0.614891	0.0285727	0.0747849	0.000643524	95.1557	1.68902	0.0334989	0.00063669	24.1442	1.02547	
0.34	-0.984057	5.87304e-05	0.393815	0.0153823	0.072682	0.000579835	89.4496	1.67056	0.0256971	0.000343306	11.779	0.520951	
0.345	-0.982308	3.35976e-05	0.313555	0.00562	0.0690208	0.000596813	80.0213	1.56034	0.0222315	0.000179071	7.06288	0.226912	
0.35	-0.980774	1.73171e-05	0.292065	0.0024471	0.0666141	0.000535137	71.7151	1.32797	0.0206414	9.11519e-05	5.1304	0.0953878	
0.355	-0.979317	1.48337e-05	0.294142	0.00219346	0.0639733	0.0004735	66.0467	1.07771	0.0199216	5.86729e-05	4.24824	0.0546611	
0.36	-0.977841	1.36568e-05	0.295695	0.00160147	0.061619	0.000419475	60.3063	0.802967	0.0193546	4.564e-05	3.72081	0.0351546	
