-882	231	30.8533	28.7156	6.57178	5.59624
-884	270	35.0111	33.2689	6.92619	6.1622
-886	261	43.2822	32.9533	10.7263	6.55604
-880	117	19.3267	14.5711	4.7728	2.77588
-878	65	9.24222	7.86444	1.94981	1.40006
-876	29	4.81333	3.05333	1.36025	0.471654
-874	10	1.02667	1.10667	0.187398	0.140385
-872	3	0.166667	0.331111	0.0140395	0.0533086
-870	1	0.102222	0.0311111	0.0104494	0.000967901
-868	1	0.1	0.0333333	0.01	0.00111111
-888	257	49.9822	32.6978	14.2303	6.44507
-892	232	37.1778	32.6444	9.19394	7.00245
-890	95	17.2889	14.5244	4.27663	3.70674
-896	160	25.1933	19.9267	6.21089	3.66292
-894	12	1.25111	2.21556	0.327165	0.546128
-900	256	37	32.7333	7.99556	6.81333
