0.2	2.33984e-07	8.0948e-08	0	0
0.21	7.19531e-07	2.72726e-07	0	0
0.22	2.21387e-06	4.64825e-07	0	0
0.23	3.23535e-06	6.07103e-07	0	0
0.24	6.78906e-06	9.96572e-07	0	0
0.25	1.08871e-05	1.0896e-06	0	0
0.26	1.94004e-05	1.50341e-06	0	0
0.27	2.60383e-05	1.35448e-06	0	0
0.28	4.68178e-05	1.97579e-06	0	0
0.29	6.94295e-05	2.78178e-06	0	0
0.3	0.000121046	3.99758e-06	0	0
0.31	0.000176956	6.11569e-06	0	0
0.32	0.000271761	6.2705e-06	0	0
0.33	0.000429812	8.06151e-06	0	0
0.34	0.000620533	9.76974e-06	0	0
0.35	0.000908162	1.31435e-05	0	0
0.36	0.00134762	1.89944e-05	0	0
0.37	0.00191646	2.44179e-05	0	0
0.38	0.0027639	4.01856e-05	0	0
0.39	0.0039578	5.25935e-05	0	0
0.4	0.00562855	7.36502e-05	0	0
0.41	0.00771879	9.4746e-05	0	0
0.42	0.010648	8.94507e-05	0	0
0.43	0.0138134	8.40402e-05	0	0
0.44	0.0169696	6.57639e-05	0	0
0.45	0.0200294	4.10339e-05	0	0
0.46	0.0229072	3.36395e-05	0	0
0.47	0.0258763	2.44765e-05	0	0
0.48	0.0288816	2.7237e-05	0	0
0.49	0.0319381	2.44981e-05	0	0
0.5	0.0350818	2.18446e-05	0	0
