0.2	0.0192036	0.0138904	0.016987	0.0136881	0.0198583	0.0137784
0.21	-0.00930957	0.0147713	-0.0100256	0.0146061	-0.00807763	0.0143289
0.22	0.0214767	0.0137876	0.0167684	0.0143107	0.0168955	0.0144752
0.23	0.0172048	0.0138271	0.0149412	0.0139518	0.0153683	0.0143457
0.24	-0.00154418	0.0179328	-0.00203325	0.0183402	-7.04082e-06	0.0183172
0.25	-0.0101492	0.021962	-0.0103598	0.0223016	-0.0094684	0.0219596
0.26	0.0287615	0.0161989	0.0284063	0.016596	0.0267222	0.0161222
0.27	-0.00547387	0.0192528	-0.00716745	0.020043	-0.00450392	0.019873
0.28	0.0186281	0.0145405	0.0175272	0.014108	0.0156271	0.0144165
0.29	0.0180349	0.0182757	0.020947	0.0181209	0.0190693	0.0177117
0.3	-0.0344014	0.0181296	-0.0371651	0.0180324	-0.0375569	0.0181914
0.31	-0.0118733	0.0170124	-0.00187485	0.0173668	-0.00570695	0.0170389
0.32	0.0178794	0.0191899	0.0215138	0.0195138	0.0211715	0.0197229
0.33	0.0186143	0.0178159	0.019009	0.0178071	0.0188214	0.0179545
0.34	0.0227395	0.0142113	0.0221654	0.0149089	0.0238238	0.0151221
0.35	0.00431227	0.0112574	0.00412082	0.0112404	0.00115999	0.0113827
0.36	0.0121189	0.0118828	0.00870471	0.0118149	0.00969046	0.012026
0.37	-0.0142507	0.00918879	-0.0131006	0.00916515	-0.0129724	0.00912748
0.38	0.00222406	0.00787034	0.00497021	0.00810443	0.0054382	0.00814744
0.39	-0.00273331	0.00762537	-0.00237592	0.00754975	-0.00236793	0.00753539
0.4	0.00323989	0.00675887	0.00383839	0.00679543	0.00375923	0.00675931
0.41	-0.00520596	0.00722194	-0.00565108	0.00730074	-0.00554378	0.00732565
0.42	-0.00389213	0.00639989	-0.00273474	0.00665718	-0.0026435	0.0066477
0.43	-0.00343835	0.00642472	-0.00244497	0.00656308	-0.00233875	0.00658171
0.44	0.00192328	0.00603942	0.00126317	0.00601169	0.0014531	0.00601443
0.45	0.0122724	0.00561251	0.0117057	0.00536897	0.011867	0.00534031
0.46	0.00134091	0.00585663	0.00205557	0.00604246	0.00219158	0.00600842
0.47	0.00199847	0.00505515	0.00186643	0.00503516	0.00185699	0.00504181
0.48	0.00506671	0.00650939	0.00451768	0.00641083	0.00438918	0.00639472
0.49	0.00897221	0.00494772	0.0087805	0.0050633	0.00873602	0.00506531
0.5	0.00342633	0.00427094	0.00392148	0.0041958	0.00396515	0.00420063
